ids,score
55061,0.5785
67669,0.5575
228925,0.0278
4248,0.5498
109584,0.25
117235,0.324
71898,0.3352
109497,0.4964
117936,0.5508
116979,0.4499
252165,0.0269
44279,0.3767
97390,0.4616
60210,0.2061
27707,0.6904
214933,0.1265
64394,0.5068
209999,0.0014
47952,0.5195
232835,0.1388
113706,0.2007
247669,0.0832
37143,0.4294
222156,0.0416
28522,0.4082
110978,0.0806
147994,0.2895
9344,0.2697
159763,0.1596
207324,0.2072
197822,0.213
277575,0.0677
86673,0.39
135646,0.3832
26928,0.5968
277838,0.41
194447,0.1702
162291,0.6252
241955,0.0674
288229,0.0689
228727,0.0096
158349,0.1763
35149,0.6048
208373,0.3827
95674,0.2618
301420,0.176
241284,0.079
202356,0.0648
285886,0.1451
163692,0.733
186461,0.1584
152120,0.3154
18990,0.2755
18537,0.6541
48601,0.175
137011,0.1761
219282,0.0258
22464,0.3861
65755,0.186
245706,0.1798
287423,0.0425
89739,0.2134
81126,0.1913
100791,0.2441
207008,0.0072
188109,0.1267
169127,0.7005
83855,0.4278
55925,0.4095
114130,0.3808
4615,0.6151
267570,0.0003
141648,0.1488
115755,0.4771
239250,0.0638
280874,0.1796
247176,0.5598
5427,0.6648
144839,0.4224
119196,0.4899
33804,0.6162
213353,0.0501
200073,0.0722
58908,0.0685
130684,0.3602
127139,0.4676
153533,0.0996
247754,0.0233
103987,0.5857
184996,0.1456
168241,0.8334
87370,0.2661
64828,0.5014
50401,0.0953
284865,0.0904
72566,0.2327
105858,0.402
258192,0.0542
268178,0.0018
51396,0.4853
59268,0.2219
230134,0.2124
272983,0.2479
153108,0.3125
249898,0.3243
58072,0.4993
155982,0.7648
7604,0.2625
155078,0.3141
207304,0.0593
149797,0.4622
83974,0.3734
134604,0.1739
129238,0.4568
177062,0.1245
115004,0.4278
123888,0.341
275326,0.0284
263850,0.1158
397,0.0004
282900,0.2193
299331,0.0621
294413,0.1352
214952,0.1399
125832,0.317
300723,0.0698
154067,0.2519
147190,0.3612
185143,0.0361
139813,0.104
231189,0.0588
222709,0.176
2586,0.538
83759,0.3985
102395,0.3515
143501,0.1876
105072,0.3438
36496,0.5162
297237,0.0246
110414,0.236
159482,0.2481
223082,0.1528
182506,0.2004
181647,0.0874
40887,0.4229
41386,0.0406
238880,0.0867
197940,0.0755
263589,0.1384
41897,0.3734
160464,0.0001
266257,0.0284
220420,0.0771
130792,0.2607
292116,0.0096
46292,0.7054
108542,0.0749
242798,0.0832
152896,0.4924
30557,0.5184
188106,0.1418
57309,0.2847
140251,0.2583
301969,0.0049
129618,0.072
163867,0.0011
255423,0.0648
92079,0.3799
237641,0.111
243116,0.0067
24614,0.3227
252460,0.0191
172784,0.443
202879,0.1486
252421,0.3153
147171,0.0006
286960,0.0002
223507,0.3239
183605,0.081
101711,0.4563
279703,0.0778
258466,0.0174
214852,0.2056
284973,0.0289
207406,0.1414
291153,0.0126
150275,0.2838
202504,0.1541
213376,0.0023
5352,0.5514
252035,0.2754
239700,0.0112
245946,0.0137
129634,0.2853
213458,0.4252
22621,0.5027
135639,0.3464
200331,0.1124
172586,0.5537
35912,0.6753
97061,0.4273
186483,0.0006
132921,0.456
139301,0.4927
117436,0.5185
272242,0.1763
116565,0.2004
135662,0.3432
114622,0.1753
148507,0.2079
143095,0.269
278391,0.0004
236575,0.1764
272591,0.1437
222291,0.0628
231834,0.111
17823,0.6914
251525,0.0245
173435,0.031
192812,0.0068
161546,0.4766
213921,0.144
162830,0.5724
281006,0.0
158907,0.2887
233090,0.1116
301859,0.0837
301018,0.2027
183330,0.0006
9124,0.1072
150711,0.0857
10740,0.4959
193502,0.0787
195152,0.0745
129237,0.3365
251797,0.0294
112157,0.1701
208031,0.194
32402,0.3394
172173,0.7531
303535,0.1494
209749,0.1858
85463,0.5607
117558,0.6786
168870,0.0186
189837,0.1718
1288,0.4064
227476,0.1902
292712,0.0846
112195,0.3106
44104,0.5646
285671,0.0612
27078,0.3197
218961,0.2366
47491,0.5461
125565,0.1368
93626,0.3717
231117,0.1766
178033,0.618
128005,0.3254
289043,0.4292
147692,0.5135
270737,0.0879
275053,0.1783
10950,0.3657
25482,0.5493
69352,0.2353
224120,0.0903
287828,0.0672
114283,0.1497
277553,0.0922
305592,0.4477
245084,0.2084
196817,0.0704
265189,0.1956
182379,0.0943
166911,0.7206
116634,0.1759
31599,0.7631
214044,0.002
262737,0.1026
199788,0.0072
85225,0.3625
108470,0.4271
32201,0.1398
294418,0.046
143615,0.2252
130159,0.32
119764,0.2816
169192,0.8999
153061,0.16
201260,0.0004
71329,0.1314
176681,0.2765
289487,0.174
386,0.5179
143187,0.5634
139030,0.134
214434,0.1795
126002,0.1222
115983,0.4646
184700,0.0716
140869,0.5168
241338,0.0664
182418,0.0511
269121,0.1886
254160,0.1318
296493,0.3064
154483,0.7928
1706,0.3813
13338,0.5259
166956,0.782
196018,0.0967
159870,0.1024
9804,0.2945
8705,0.7191
2627,0.7606
77270,0.3785
66509,0.4064
4543,0.1025
256680,0.1228
301892,0.0283
118979,0.1782
197907,0.1865
305338,0.1418
173315,0.4425
3820,0.3235
218299,0.0898
185986,0.2203
76642,0.4454
81789,0.4336
54486,0.3976
1190,0.3402
163662,0.3957
101622,0.5233
177755,0.0092
64139,0.5285
177081,0.1203
254333,0.0449
69338,0.7167
172978,0.7678
122600,0.4596
119704,0.3032
177583,0.2534
246923,0.1719
162865,0.5033
155400,0.8218
145435,0.1843
159044,0.4338
76010,0.3479
302236,0.0565
188432,0.2861
100029,0.269
152310,0.3407
13154,0.2672
294803,0.0246
45056,0.6454
244483,0.0191
46223,0.47
39519,0.4879
146644,0.0837
94695,0.0244
151836,0.2657
96610,0.2288
137050,0.5024
95011,0.3853
160727,0.0772
282738,0.2533
151758,0.5286
129342,0.3996
139932,0.2001
281773,0.1005
146139,0.3678
35725,0.4272
164493,0.7091
57400,0.0027
226428,0.0006
107707,0.2762
1407,0.6127
43263,0.2104
260702,0.3072
229736,0.015
145213,0.3779
190176,0.0822
185852,0.0215
102096,0.2222
37662,0.1594
189419,0.0565
798,0.4551
9644,0.2776
237599,0.1149
99194,0.2035
43909,0.4187
275183,0.1173
43479,0.4631
297956,0.0004
110329,0.4115
257705,0.1387
297964,0.0012
214065,0.0269
105297,0.19
141294,0.0604
210458,0.1027
59292,0.2359
160160,0.617
287081,0.2034
263958,0.0302
196154,0.0117
59760,0.1122
162270,0.5485
151153,0.4367
280065,0.1683
66744,0.3861
153696,0.3895
143849,0.122
201675,0.1933
77966,0.1559
79557,0.4275
67823,0.395
126757,0.433
62645,0.5324
1682,0.396
120041,0.6063
28714,0.652
57744,0.4414
217657,0.0921
5837,0.4635
246597,0.0134
156923,0.6361
8951,0.6753
242028,0.3307
143534,0.5544
271379,0.048
31252,0.4568
138158,0.0393
